adjusted_rand_score,parameters,model_hyperparameters
0.47547898255103427,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}","{'threshold_cc': 0.5132412683336636, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.5760457513334357,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}","{'threshold_cc': 0.48032299530612566, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.4929236550367369,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'ru-ru'}","{'threshold_cc': 0.47635841415257474, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.5345903217034036,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'en-en'}","{'threshold_cc': 0.4874983409351179, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.4922316384180791,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}","{'threshold_cc': 0.5132412683336636, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.4922316384180791,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}","{'threshold_cc': 0.48032299530612566, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.4922316384180791,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'ru-ru'}","{'threshold_cc': 0.47635841415257474, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.4644538606403013,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'en-en'}","{'threshold_cc': 0.4874983409351179, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.5338983050847458,"{'binarize': True, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}","{'threshold_cc': 0.5132412683336636, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.5477871939736346,"{'binarize': True, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}","{'threshold_cc': 0.48032299530612566, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.5413979318529315,"{'binarize': True, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'ru-ru'}","{'threshold_cc': 0.47635841415257474, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.5377744556189786,"{'binarize': True, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'en-en'}","{'threshold_cc': 0.4874983409351179, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.47547898255103427,"{'binarize': True, 'percentile': 3, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}","{'threshold_cc': 0.5132412683336636, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.5696564892127325,"{'binarize': True, 'percentile': 3, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}","{'threshold_cc': 0.48032299530612566, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.5332852736447758,"{'binarize': True, 'percentile': 3, 'word_level_threshold': False, 'score_path': 'ru-ru'}","{'threshold_cc': 0.47635841415257474, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.5215358041209255,"{'binarize': True, 'percentile': 3, 'word_level_threshold': False, 'score_path': 'en-en'}","{'threshold_cc': 0.4874983409351179, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.49021611142889193,"{'binarize': True, 'percentile': 4, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}","{'threshold_cc': 0.5132412683336636, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.564559306761999,"{'binarize': True, 'percentile': 4, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}","{'threshold_cc': 0.48032299530612566, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.5381694387632667,"{'binarize': True, 'percentile': 4, 'word_level_threshold': False, 'score_path': 'ru-ru'}","{'threshold_cc': 0.47635841415257474, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.5498204263473659,"{'binarize': True, 'percentile': 4, 'word_level_threshold': False, 'score_path': 'en-en'}","{'threshold_cc': 0.4874983409351179, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.4996700438020623,"{'binarize': True, 'percentile': 5, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}","{'threshold_cc': 0.5132412683336636, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.39322589149581955,"{'binarize': True, 'percentile': 5, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}","{'threshold_cc': 0.48032299530612566, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.4036246880521422,"{'binarize': True, 'percentile': 5, 'word_level_threshold': False, 'score_path': 'ru-ru'}","{'threshold_cc': 0.47635841415257474, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.4198222800280268,"{'binarize': True, 'percentile': 5, 'word_level_threshold': False, 'score_path': 'en-en'}","{'threshold_cc': 0.4874983409351179, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.42330750698435593,"{'binarize': True, 'percentile': 6, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}","{'threshold_cc': 0.5132412683336636, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.3427834697959709,"{'binarize': True, 'percentile': 6, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}","{'threshold_cc': 0.48032299530612566, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.35830139954196727,"{'binarize': True, 'percentile': 6, 'word_level_threshold': False, 'score_path': 'ru-ru'}","{'threshold_cc': 0.47635841415257474, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.3651315429394328,"{'binarize': True, 'percentile': 6, 'word_level_threshold': False, 'score_path': 'en-en'}","{'threshold_cc': 0.4874983409351179, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.31471946545021656,"{'binarize': True, 'percentile': 7, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}","{'threshold_cc': 0.5132412683336636, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.32047034281501624,"{'binarize': True, 'percentile': 7, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}","{'threshold_cc': 0.48032299530612566, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.22697354277136575,"{'binarize': True, 'percentile': 7, 'word_level_threshold': False, 'score_path': 'ru-ru'}","{'threshold_cc': 0.47635841415257474, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.25543982282736316,"{'binarize': True, 'percentile': 7, 'word_level_threshold': False, 'score_path': 'en-en'}","{'threshold_cc': 0.4874983409351179, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.18424722148149528,"{'binarize': True, 'percentile': 8, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}","{'threshold_cc': 0.5132412683336636, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.24200984578290807,"{'binarize': True, 'percentile': 8, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}","{'threshold_cc': 0.48032299530612566, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.22284658324394735,"{'binarize': True, 'percentile': 8, 'word_level_threshold': False, 'score_path': 'ru-ru'}","{'threshold_cc': 0.47635841415257474, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.20698688720166292,"{'binarize': True, 'percentile': 8, 'word_level_threshold': False, 'score_path': 'en-en'}","{'threshold_cc': 0.4874983409351179, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.0934356533954757,"{'binarize': True, 'percentile': 9, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}","{'threshold_cc': 0.5132412683336636, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.14935133598226155,"{'binarize': True, 'percentile': 9, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}","{'threshold_cc': 0.48032299530612566, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
0.13808562960916815,"{'binarize': True, 'percentile': 9, 'word_level_threshold': False, 'score_path': 'ru-ru'}","{'threshold_cc': 0.47635841415257474, 'max_attempts': 2000, 'max_iters': 50000, 'max_senses': 10}"
