context_id	word	gold_sense_id	positions	context
mag_1962_311690.txt-9-8	record_nn		32-39	What's more, sales of poetry on records are tuned to unprecedented volume.
mag_2007_387692.txt-129-27	record_nn		152-159	SEPTEMBER 2005 A Northwest Airlines DC-9 jet was starting final approach for a landing, and the wing flaps retracted on their own, according to federal records, causing a potential for a crash landing.
mag_1977_287660.txt-20-8	record_nn		37-43	Despite the country's grim mood, the record 87% of the voters who turned out made decisions on broader issues; they gave Den Uyl's party 53 seats in the new 150-member parliament, a gain of ten; the Socialists will now probably seek to form a coalition government with the Christian Democrats.
news_1982_668342.txt-1-29	record_nn		176-182	A 27-year-old conscientious objector, wearing a tattered fishnet shirt with the letters GBTC stenciled across the front in magic marker, won the Boston Marathon in an American record time of 2 hours, 9 minutes and 55 seconds.
mag_1981_127085.txt-95-12	record_nn		63-70	// Southern Cal's Marcus Allen broke another of Dorsett's NCAA records by increasing his season rushing yardage to 1,968 in a 21-3 victory over Cal.
news_1977_733003.txt-37-85	record_nn		508-515	"Mr Gould Mr Forrest added, "" It probably wouldn't be of much use The money would have gone to Switzerland or something like that "" Whether the nearly half-million-dollar payment was indeed sent on to a banker in Switzerland who laundered it in some way before it reached Italian government officials or whether it was a completely legitimate operation is a matter the audit committee apparently found no'need to clarify This omission is particularly tantalizing because there reportedly is nothing in Avis's records to indicate a prior letter of agreement for the payment For his part, Mr. Gould, who helped set up Arbourage, said no one had made any inquiries about it, and he added he had never even heard of the audit committee study that was turned over to the SEC Meanwhile, at Avis, much more attention seems to be directed at illicit payments that possibly can"
mag_1991_343958.txt-7-19	record_nn		110-116	In less than four years his independent film company, Morgan Creek Productions, has produced a sizzling track record
news_1973_730777.txt-22-1	record_nn		6-13	Those records belonged over here and what we were doing was getting back.
news_1978_733514.txt-23-7	record_nn		43-50	President Carter, who listens to classical records all day long, appeared to be enthralled.
news_1978_733754.txt-20-24	record_nn		136-142	"She and I were concerned about the protection of her confidentiality both with regard to her taking medication and to the creation of a record anywhere that she had been treated by a psychiatrist, "" Bourne said."
nf_1961_774367.txt-2198-2	record_nn		8-14	"Let the record show, "" Judge Rives said, "" that the court has called for evidence from the defense in open court and none is offered. """
mag_1980_485877.txt-172-10	record_nn		66-72	But perhaps the most interesting experiment anywhere is The Union Record (Seattle), the labor daily which, on the President's arrival in that city, dared, to the horror of the correspondents accompanying him,
fic_2005_31686.txt-155-7	record_nn		33-40	"There had been no mention in his records of these fantasies.... "" The pirates? """
nf_2007_776449.txt-6-9	record_nn		52-58	Within the legal profession in particular, Warren's record on civil rights gave him tremendous
mag_1971_282685.txt-6-3	record_nn		12-18	Last week a record crowd of 81,036 came to find out, as the big (16.1 hands) copper colt went to the post in the $125,000 Belmont Stakes, the final jewel in the Triple Crown.
mag_1987_88962.txt-50-28	record_nn		162-168	// SAILING -- PHILIPPE JEANTOT, in his 60-foot sloop, Credit Agricole III, cut nearly 25 days off his own four-year-old BOC Challenge solo circumnavigation world record, covering the 27,000 miles in 134 days, 5 hours, 24 minutes and 56 seconds to win Class I. MIKE PLANT, in a 50-foot sloop, won Class II in 157 days (page 74).
fic_1970_782003.txt-2934-1	record_nn		4-10	"Any record on any police blotter anywhere, particularly with reference to smoking pot. """
news_1988_668892.txt-4-9	record_nn		49-55	East Germany ' s Heike Drechsler owns the indoor record of 24-2 1/2, set Saturday in Vienna.
nf_2001_746879.txt-32-20	record_nn		116-123	As part of the review process, all available medical information was obtained, and this included study and hospital records.
