context_id	word	gold_sense_id	positions	context
1	attack_nn	0	43-49	As the stranger fell to the earth under an attack so impetuous and unexpected, he uttered an exclamation in which Juan recognized the language of Mexico.
2	attack_nn	0	250-256	The great object with each party seemed to be to make the other begin the attack: the English would not do this, because they saw that their artillery was rapidly thinning the ranks of their enemies; and Charles was under the necessity of making the attack.
3	attack_nn	0	21-27	A system of personal attack was, therefore, organized against Mr. Porter, of the most profligate and disgraceful description.
4	attack_nn	0	29-35	Ridicule is, of all modes of attack, that least readily forgiven, particularly when directed by an inferior.
5	attack_nn	0	41-47	Such there have been, who met the fierce attack, Rushed on opposing troops, and drove them trembling back.
6	attack_nn	0	23-29	"A In referring to this attack and the movements of general Wayne, Withers, in his "" Chronicles of Border Warfare, "" says: "" Before the troops marched from fort Washington, it was deemed advisable to have an abundant supply of provisions in the different forts in advance of this, as well for the support of their respective garrisons, as for the subsistence of the general army, in the"
7	attack_nn	0	166-172	, like the rest of the building, were rendered, by their thickness, bullet proof -- so that when closed and bolted, the house was capable of withstanding an ordinary attack of the Indians.
8	attack_nn	0	137-143	If nations be at war, we are not judges of the question of right, in that war; we must acknowledge, in both parties, the mutual right of attack, and the mutual right of conquest.
9	attack_nn	0	81-87	Mr. Calhoun has replied to Mr. Benton's attack upon him, and the reply, like the attack, is tedious and minute To the ears of our Northern readers, the report of this distant cannonading sounds very faint and far, and it is probable that few of them will have the leisure or the patience to wade through the periods of Mr. Calhoun's reply.
10	attack_nn	0	78-84	cried his antagonist, following him and standing over him, ready to renew the attack if he stirred with an evil purpose.
11	attack_nn	0	61-67	"So he shunned a meeting which he thus describes- "" Where the attack is all on one side, and the accuser thinks himself at liberty to use every weapon, that falls under his hand, fair or foul, and has a shield in his own adversity. """
12	attack_nn	0	284-290	Vernon, or, as he has changed his character, we may venture to change his name, - - Jerome Vaudelier, went to California in the first of the excitement; where, amid the temptations of that new and dissolute land, he yet maintains the integrity he vowed to cherish on the night of the attack upon Cottage Island.
13	attack_nn	0	38-44	yelled the populace, but they made no attack.
14	attack_nn	0	77-83	the village of Sitka, and, on arriving there, were informed of the meditated attack and their assistance solicited.
15	attack_nn	0	179-185	Yet they stand in special need of defence, as the country from which they draw their support has not in itself the means of promptly sustaining them in their attempts to repel an attack, and especially as the hope, so confidently and cruelly entertained across the Atlantic, of deriving assistance from servile insurrections, would greatly tend to attract invasion towards this portion of our Union.
16	attack_nn	0	130-136	Having hy an appearance of submission lulled the suspicions of the Russians, they detei * mined in the summer of 1802 to make the attack.
17	attack_nn	0	99-106	""" With the troops near Montreal, endeavouring to defend it and the surrounding country against any attacks of the colonists."
18	attack_nn	0	27-34	A slight immunity from the attacks of acari and pediculi might in a tropical country more than compensate an animal for the loss of its hairy coat, especially in the case of the domesticated dog, which finds shelter with its master, has not to seek for its food at night, and is protected from the attacks of stronger animals.
19	attack_nn	0	189-195	But, as if the cowardice of their countrymen had stung them into a determination to show, at all hazards, that they, at least, were made of very different stuff, they not only resisted the attack of the enemy, but carried the bayonet into his ranks.
20	attack_nn	0	157-164	period of its greatest activity is towards the middle of the day, the hour at which students generally, - - which unfortunate class is most obnoxious to its attacks, -- are unwilling to be disturbed.
21	attack_nn	0	95-101	they were ready to sacrifice their honest belief on some points, for the sake of uniting in an attack upon the Secretary.
22	attack_nn	0	79-85	I had reason, therefore, to believe that my house would have been an object of attack.
23	attack_nn	0	54-60	commenced the life of a pioneer, and that, in a night attack, his cabin had been burned, his wife killed, and his son carried away by the savages.
24	attack_nn	0	171-177	La Tour resolved to avenge these repeated insults; and, hearing that the fort at Penobscot was at that time weakly defended, he made immediate preparations to commence an attack on it.
25	attack_nn	1	81-88	I have been in the country a little more than three months; and have had several attacks of the fever.
26	attack_nn	0	108-114	I talked as if her agency was already ascertained, and the feelings she betrayed at this abrupt and unaware attack, confirmed my suspicions.
27	attack_nn	0	172-178	assertion when we say, that, had his sympathies been at all enlisted with the assailing party, the sarcasm of its leader would have hurried him into the very first rank of attack.
28	attack_nn	0	212-218	Nature marked out for them the same strategy which Napoleon used with such wonderful success, that of maintaining a compact force, of dividing his enemies and bringing the greater power to bear upon the point of attack.
29	attack_nn	0	168-174	You assured me that old Snell and his two sons were the whole force that he carried, while I find two stout, able-bodied men besides, all well armed, and ready for the attack.
30	attack_nn	0	287-294	The leaf-cutting ants are confined to tropical America; and we can easily understand that trees and vegetables introduced from foreign lands where these ants are unknown could not have acquired, excepting accidentally, and without any reference to the ants, any protection against their attacks, and now they are most eagerly sought by them.
31	attack_nn	0	251-257	The men divided, some plunging deeper into the forest, in order to gain their stations without giving an alarm, and others Continuing to advance, at a gait that would allow the whole party to go in order; but all devising the best plan to repulse the attack of a dog, or to escape a rifle-bullet.
32	attack_nn	0	171-177	But if the policy of the Anglo-Americans was sufficient to destroy so powerful a rival as the French, what can be expected from the unconcerted, ill-advised resistance or attack of the aborigines, unskilled in military tactics, and not sufficiently strong, on any one point,
33	attack_nn	0	17-23	He witnessed the attack, but knew nothing of its cause.
34	attack_nn	0	35-41	, which should be the signal of an attack having been made there.
35	attack_nn	0	104-110	"I examined the boy's feet, and found them red, shining and tumefied, with other indications of a severe attack of chilblains. """
36	attack_nn	0	183-190	I dreamed in a dream, I saw a city invincible to the attacks of the whole of the rest of the earth from Leaves of grass (1860-61) I dreamed in a dream, I saw a city invincible to the attacks of the whole of the rest of the earth, I dreamed that was the new City of Friends, Nothing was greater there than the quality of robust love -- it led the rest, It was seen every hour in the actions of the men of that city,
37	attack_nn	0	50-56	The general doubted, however, whether any serious attack was meditated against the place.
38	attack_nn	0	141-147	In a merely military point of view, this is sufficiently proper; for it can not be supposed that either grammar or Latin is necessary to the attack and defence of fortified places, or that the graces of composition are necessary to the art of castrametation.
39	attack_nn	0	122-128	Schiller appears to have resigned his professorship, or at least to have suspended his attention to its duties, after the attack of illness above mentioned, although the fact is not precisely stated by the biographer, and was thus deprived of his ordinary means of living.
