identifier1	identifier2	annotator	judgment	comment	lemma	round
bib19225792_18231122_147359_46_0005_alto.xml-6-6	bib15873371_18950802_145112_207_0002_alto.xml-14-31	annotator2	1.0	 	medium	3
bib19225792_18231122_147359_46_0005_alto.xml-6-6	bib13506739_18181005_144030_229_0007_alto.xml-10-35	annotator2	3.0	 	medium	3
bib19277277_18290604_147682_127_0001_alto.xml-8-0	bib19225792_18050223_147359_8_0003_alto.xml-2-2	annotator2	3.0	 	medium	3
bib15873371_18950802_145112_207_0003_alto.xml-134-17	bib11653828_18110911_144028_211_0003_alto.xml-3-11	annotator2	1.0	 	medium	3
bib11653828_18120217_144028_39_0002_alto.xml-7-9	bib19227291_18970417_145289_46_0003_alto.xml-135-8	annotator2	2.0	 	medium	3
bib11653790_18960313_145648_11_0006_alto.xml-219-14	bib11653828_18110911_144028_211_0003_alto.xml-3-11	annotator2	1.0	 	medium	3
bib19277346_18251112_147394_45_0004_alto.xml-4-11	bib13506739_18300115_144030_11_0004_alto.xml-36-13	annotator2	4.0	 	medium	3
bib11653830_18980117_146968_5_0003_alto.xml-47-41	bib11653825_18201007_145134_113_0007_alto.xml-2-3	annotator2	4.0	 	medium	3
bib11653811_18960907_145317_137_0003_alto.xml-121-5	bib19227291_18970417_145289_46_0003_alto.xml-135-8	annotator2	1.0	 	medium	3
bib11653828_17940203_144028_27_0003_alto.xml-3-29	bib13506739_18170609_144030_130_0003_alto.xml-5-14	annotator2	4.0	 	medium	3
bib15650837_18950629_146391_148_0005_alto.xml-5-18	bib19227291_18970417_145289_46_0003_alto.xml-135-8	annotator2	2.0	 	medium	3
bib19225758_18950803_144022_178_0006_alto.xml-148-36	bib11653828_18110911_144028_211_0003_alto.xml-3-11	annotator2	0.0	 	medium	3
bib11653806_18030504_145120_46_0003_alto.xml-4-5	bib11653828_18110911_144028_211_0003_alto.xml-3-11	annotator2	1.0	 	medium	3
bib13506739_17980830_144030_199_0006_alto.xml-9-19	bib19227291_18970417_145289_46_0003_alto.xml-135-8	annotator2	2.0	 	medium	3
bib15760690_18950227_145050_33_0003_alto.xml-70-3	bib11653828_18110911_144028_211_0003_alto.xml-3-11	annotator2	1.0	 	medium	3
bib19227291_18950713_145289_83_0003_alto.xml-36-8	bib11653828_18110911_144028_211_0003_alto.xml-3-11	annotator2	1.0	 	medium	3
bib15760690_18950824_145050_129_0004_alto.xml-41-5	bib11653828_18110911_144028_211_0003_alto.xml-3-11	annotator2	4.0	 	medium	3
bib19225758_18950803_144022_178_0006_alto.xml-151-14	bib19227291_18970417_145289_46_0003_alto.xml-135-8	annotator2	3.0	 	medium	3
bib15975090_18950330_148377_38_0002_alto.xml-7-3	bib19225792_17970303_147359_9_0008_alto.xml-3-4	annotator2	1.0	 	medium	3
bib19277277_18250727_147682_170_0002_alto.xml-27-15	bib19227291_18970417_145289_46_0003_alto.xml-135-8	annotator2	1.0	 	medium	3
bib19225772_17941219_148003_101_0003_alto.xml-3-88	bib11653828_18110911_144028_211_0003_alto.xml-3-11	annotator2	1.0	 	medium	3
