context_id	word	gold_sense_id	positions	context
news_1961_721815.txt-1-66	include_vb	0	402-410	"Restaurant men contend serious threats to their industry are posed by President Kennedy's recommendation to restrict tax deductions for business expenses, and by the urging of some Congressmen that Federal minimum wage legislation be extended to 2 1 million restaurant workers The night club segment of the industry perhaps would be affected even to a larger degree by the proposed tax overhaul, which includes a suggestion by the President that the cost of business entertainment be disallowed as a deduction. """
nf_1985_774130.txt-686-35	include_vb	0	175-183	"The eleventh-century caliph alZahir, we are told, in spite of famine, inflation, and plague, celebrated the Islamic feast days with "" art works from the sugar bakers, "" which included 157 figures and seven large (table-sized!)"
nf_1995_777123.txt-209-1	include_vb	0	5-13	They included a highly sophisticated variety of tools, made out of bone and antler as well as stone.
mag_1994_425313.txt-80-8	include_vb	0	52-60	The association continues to examine what should be included in the National Park System and how sites should be managed for the highest values and most lasting protection.
news_1979_734259.txt-90-4	include_vb	0	29-36	Letters for publication must include the writer's name, address and telephone number.
nf_1996_746272.txt-117-25	include_vb	0	175-184	The international community should discard the illusion that one can intervene in a country beset by widespread civil violence without affecting domestic politics and without including a nation-building component.
mag_1986_480710.txt-175-6	include_vb	0	45-53	The evolutionarily later always subsumes and includes the evolutionarily earlier; and therefore, given any measure of value, the more advanced is going to possess more of it than the more primitive.
news_1997_621050.txt-10-4	include_vb	0	17-24	But the set does include plenty of less-than- ideal vocal takes, both in the studio and in concert, revealing a man with a talent that needed to be honed like any other.
mag_1965_478417.txt-243-3	include_vb	0	17-25	The latter group includes students who often do superb work in my classes but who are quite as likely to be on academic probation as on the Dean's list.
fic_1982_10699.txt-13184-18	include_vb	0	91-98	In encompassing most of the eastern shore of the lake, his estate may have been thought to include the lake itself.
mag_1991_421245.txt-80-7	include_vb	0	26-33	Kept in a large can, they include large, small, and many medium sizes.
news_1965_724526.txt-44-23	include_vb	0	128-136	Charges of political influence were also made in connection with the granting of a national bank charter to a group here, which included Max R. Kampelman, a former assistant to Vice President Humphrey.
fic_2003_47954.txt-80-42	include_vb	0	205-213	"On the shelves behind where my husband was pointing ranged the two hundred-plus books he'd edited at a Boston publishing house, and the four he'd written, the last novel, A Secret History of Time to Come, included by the New York Museum of Natural History in a time capsule that would outlast us all. """
mag_1981_297332.txt-8-3	include_vb	0	14-21	The new rules include two important changes that were all but ignored last week in the initial public debate.
news_2003_623012.txt-89-4	include_vb	0	34-42	Participating critics and writers included Neva Chonin, Jonathan Curiel, Chuy Varela and James Sullivan.
news_1992_605783.txt-22-3	include_vb	0	28-35	Garden apartments typically include dozens of buildings situated around huge and poorly lit parking lots that allow cars to enter and exit from different directions.
news_1988_670655.txt-37-15	include_vb	0	88-95	// Dr. Wein said that in addition to surgery and biofeedback training, other treatments include electrical stimulation that exercises and strengthens both the bladder and sphincter, and drugs that increase sphincter resistance and decrease bladder contractibility.
news_2006_618076.txt-136-1	include_vb	0	7-15	Facial includes a mask and a shoulder, foot and scalp massage.
news_1997_621028.txt-9-3	include_vb	0	20-27	Those cabotage laws include, in addition to the Passenger Vessel Services Act, the Jones Act which requires that cargo transported by sea between U.S. ports be in U.S.-owned, U.S.-built and U.S.-crewed vessels.
fic_1985_10737.txt-4940-6	include_vb	0	32-40	Earth's most recent moons still included more than a score of destroyer-sized spacecraft; but the mother ship had disappeared Into interplanetary space with half its retinue, and the remaining ships seemed to be doing nothing.
mag_1990_419894.txt-137-9	include_vb	0	38-46	d) A summary of the project should be included, along with your plan of action and the results you expect.
nf_2006_747081.txt-98-6	include_vb	0	50-57	The financial challenges facing American families include unemployment and low wages.
fic_1998_43211.txt-0-7	include_vb	0	38-45	@@5211 Tanith Lee's most recent books include Faces Under Water and a young adult novel that's due out in England very shortly, Law of the Wolf Tower.
news_1995_638662.txt-57-4	include_vb	0	17-24	The rates do not include add-on fees known as points.
nf_2004_746777.txt-134-8	include_vb	0	42-49	Second, Weinrich's position permits us to include in our theorizing the historical variability of concrete instances of fictionality.
news_2006_618076.txt-111-9	include_vb	0	37-45	Extras: He also gets a skin kit that includes a cleansing gel, exfoliating scrub, shave oil, moisturizer and a medicated clearing gel for blemishes and razor bumps.
news_1978_733682.txt-25-2	include_vb	0	13-20	"The criteria include willingness to lead a "" clean, moral life, "" to "" sustain the authority of the church, "" and to "" serve, the Lord. """
news_1980_734591.txt-46-11	include_vb	0	54-62	When mailing my September check to Town &; Country, I Included the finance charges in order to keep my
nf_1980_774127.txt-1300-15	include_vb	0	89-97	Thus, while turkey and cranberries are expected at Thanksgiving, the cranberries will be included in the different meal components from soup to nuts, e.g., one year a cranberry relish will be the rage and another a cranberry crunch.
