identifier1	identifier2	annotator	judgment	comment	lemma	round
bib19277349_18951219_147403_159_0003_alto.xml-24-12	bib11653828_18181216_144028_291_0002_alto.xml-12-2	annotator2	1.0	 	motiv	3
bib11653828_18190209_144028_32_0003_alto.xml-11-28	bib13506739_18290522_144030_117_0005_alto.xml-4-6	annotator2	4.0	 	motiv	3
bib19227462_18950921_147640_220_0002_alto.xml-35-3	bib11653811_19010330_145317_50_0002_alto.xml-66-37	annotator2	4.0	 	motiv	3
bib11653828_18140927_144028_223_0002_alto.xml-6-0	bib19277277_18950701_147683_175_0003_alto.xml-21-15	annotator2	4.0	 	motiv	3
bib11653828_18240914_144028_213_0004_alto.xml-7-8	bib19277277_18950321_147683_79_0004_alto.xml-172-41	annotator2	1.0	 	motiv	3
bib19225772_18301029_148004_124_0001_alto.xml-4-10	bib11653828_18160724_144028_169_0003_alto.xml-11-5	annotator2	4.0	 	motiv	3
bib15650814_18950521_146365_118_0001_alto.xml-3-3	bib15650837_18951009_146391_235_0005_alto.xml-90-30	annotator2	4.0	 	motiv	3
bib11653811_19021001_145317_150_0002_alto.xml-115-29	bib19227462_18950121_147640_17_0003_alto.xml-92-7	annotator2	4.0	 	motiv	3
bib11653825_18080407_145134_41_0003_alto.xml-10-56	bib13506739_18290409_144030_82_0002_alto.xml-8-9	annotator2	4.0	 	motiv	3
bib11653790_18970312_145648_20_0003_alto.xml-56-5	bib11653828_18260609_144028_131_0004_alto.xml-7-25	annotator2	4.0	 	motiv	3
bib15761097_18951024_145020_126_0003_alto.xml-37-18	bib19227462_18950328_147640_73_0003_alto.xml-233-14	annotator2	1.0	 	motiv	3
bib19227462_18951108_147640_261_0003_alto.xml-77-35	bib13506739_18290113_144030_9_0001_alto.xml-2-9	annotator2	1.0	 	motiv	3
bib15650835_18951224_146472_113_0001_alto.xml-55-15	bib11653828_18150726_144028_170_0003_alto.xml-13-11	annotator2	1.0	 	motiv	3
bib11653811_19010330_145317_50_0002_alto.xml-66-37	bib11653790_19020117_145648_5_0003_alto.xml-51-23	annotator2	1.0	 	motiv	3
bib15873371_18951209_145112_336_0003_alto.xml-58-1	bib11653811_19021001_145317_150_0002_alto.xml-115-29	annotator2	1.0	 	motiv	3
bib19277277_18951223_147683_350_0005_alto.xml-129-29	bib11653815_18950124_146944_10_0002_alto.xml-35-11	annotator2	4.0	 	motiv	3
bib13506739_18300127_144030_21_0004_alto.xml-29-9	bib11653828_18240914_144028_213_0004_alto.xml-7-8	annotator2	4.0	 	motiv	3
bib19277277_18950321_147683_79_0004_alto.xml-172-41	bib15761097_18951119_145020_137_0003_alto.xml-44-14	annotator2	4.0	 	motiv	3
bib11653828_18140409_144028_81_0003_alto.xml-16-13	bib15650835_18951224_146472_113_0001_alto.xml-55-15	annotator2	0.0	 	motiv	3
bib19227462_18950710_147640_157_0003_alto.xml-40-38	bib15761097_18951119_145020_137_0003_alto.xml-44-14	annotator2	4.0	 	motiv	3
bib19227462_18951126_147640_276_0003_alto.xml-235-2	bib19227462_18950121_147640_17_0003_alto.xml-92-7	annotator3	3.0	 	motiv	3
bib15650814_18950122_146365_19_0002_alto.xml-39-4	bib11653828_18260304_144028_53_0002_alto.xml-12-0	annotator3	4.0	 	motiv	3
bib13506739_18290113_144030_9_0001_alto.xml-4-12	bib15869824_18961104_145700_88_0003_alto.xml-32-44	annotator3	3.0	 	motiv	3
bib13506739_18111231_144030_304_0049_alto.xml-6-19	bib13506739_18290113_144030_9_0001_alto.xml-4-12	annotator3	3.0	 	motiv	3
bib19277277_18951223_147683_350_0005_alto.xml-129-29	bib11653815_18950124_146944_10_0002_alto.xml-35-11	annotator3	4.0	 	motiv	3
bib11653828_18300731_144028_174_0002_alto.xml-0-41	bib19227462_18950121_147640_17_0003_alto.xml-92-7	annotator3	2.0	 	motiv	3
bib19277277_18950321_147683_79_0004_alto.xml-172-41	bib15761097_18951119_145020_137_0003_alto.xml-44-14	annotator3	3.0	 	motiv	3
bib11653828_17990408_144028_79_0002_alto.xml-5-0	bib19227291_18960905_145289_107_0002_alto.xml-136-23	annotator3	4.0	 	motiv	3
bib19225772_18301029_148004_124_0001_alto.xml-4-10	bib11653828_18160724_144028_169_0003_alto.xml-11-5	annotator3	4.0	 	motiv	3
bib19277277_18290629_147682_146_0004_alto.xml-20-78	bib11653828_18221010_144028_236_0002_alto.xml-6-16	annotator3	3.0	 	motiv	3
bib19277346_18150610_147394_23_0002_alto.xml-0-9	bib13506739_18291107_144030_259_0008_alto.xml-20-7	annotator3	4.0	 	motiv	3
bib15650835_18951224_146472_113_0001_alto.xml-55-15	bib11653828_18150726_144028_170_0003_alto.xml-13-11	annotator3	2.0	 	motiv	3
bib13506739_18290113_144030_9_0001_alto.xml-4-12	bib19227462_18950529_147640_123_0003_alto.xml-119-0	annotator3	3.0	 	motiv	3
bib11653828_18230304_144028_52_0001_alto.xml-5-18	bib19227462_18950328_147640_73_0003_alto.xml-233-14	annotator3	2.0	 	motiv	3
bib19227462_18951108_147640_261_0003_alto.xml-77-35	bib13506739_18290113_144030_9_0001_alto.xml-2-9	annotator3	2.0	 	motiv	3
bib15761097_18951024_145020_126_0003_alto.xml-37-18	bib15650837_18240911_146391_73_0002_alto.xml-1-19	annotator3	2.0	 	motiv	3
bib13506739_18290113_144030_9_0001_alto.xml-4-12	bib19227462_18950921_147640_220_0002_alto.xml-35-3	annotator3	3.0	 	motiv	3
bib15978012_18950131_148361_26_0002_alto.xml-63-15	bib11653828_18140409_144028_81_0003_alto.xml-16-13	annotator3	4.0	 	motiv	3
bib19277349_18951219_147403_159_0003_alto.xml-24-12	bib19227462_18950328_147640_73_0003_alto.xml-233-14	annotator3	4.0	 	motiv	3
bib19227291_18960818_145289_99_0002_alto.xml-76-13	bib15650835_18951224_146472_113_0001_alto.xml-55-15	annotator3	2.0	 	motiv	3
bib13506739_18290113_144030_9_0001_alto.xml-4-12	bib11653828_18151118_144028_269_0001_alto.xml-6-11	annotator3	0.0	unclear context	motiv	3
bib13506739_18290113_144030_9_0001_alto.xml-4-12	bib11653790_18990214_145648_12_0003_alto.xml-43-30	annotator3	3.0	 	motiv	3
