adjusted_rand_score,parameters,model_hyperparameters
0.6987955368985102,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}","{'weighting': 'top', 'seed': 90}"
0.713817697998025,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}","{'weighting': 'lin', 'seed': 90}"
0.6564663590957246,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}","{'weighting': 'log', 'seed': 90}"
0.6321426440541073,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}","{'weighting': 'top', 'seed': 90}"
0.6893805392635081,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}","{'weighting': 'lin', 'seed': 90}"
0.6411633070383608,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}","{'weighting': 'log', 'seed': 90}"
0.6328429526755251,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'ru-ru'}","{'weighting': 'top', 'seed': 90}"
0.6552183229140149,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'ru-ru'}","{'weighting': 'lin', 'seed': 90}"
0.6388419713439045,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'ru-ru'}","{'weighting': 'log', 'seed': 90}"
0.7182529545121373,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'en-en'}","{'weighting': 'top', 'seed': 90}"
0.7099025936111637,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'en-en'}","{'weighting': 'lin', 'seed': 90}"
0.687818133727652,"{'binarize': True, 'percentile': 0, 'word_level_threshold': False, 'score_path': 'en-en'}","{'weighting': 'log', 'seed': 90}"
0.25,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}","{'weighting': 'top', 'seed': 90}"
0.3402400586496255,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}","{'weighting': 'lin', 'seed': 90}"
0.32114147909967844,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}","{'weighting': 'log', 'seed': 90}"
0.20833333333333334,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}","{'weighting': 'top', 'seed': 90}"
0.3627681703089916,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}","{'weighting': 'lin', 'seed': 90}"
0.263923445797762,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}","{'weighting': 'log', 'seed': 90}"
0.23444863336475022,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'ru-ru'}","{'weighting': 'top', 'seed': 90}"
0.33061196916539176,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'ru-ru'}","{'weighting': 'lin', 'seed': 90}"
0.2761153000314169,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'ru-ru'}","{'weighting': 'log', 'seed': 90}"
0.25,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'en-en'}","{'weighting': 'top', 'seed': 90}"
0.36395265140523864,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'en-en'}","{'weighting': 'lin', 'seed': 90}"
0.2761153000314169,"{'binarize': True, 'percentile': 1, 'word_level_threshold': False, 'score_path': 'en-en'}","{'weighting': 'log', 'seed': 90}"
0.4919029119847047,"{'binarize': True, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}","{'weighting': 'top', 'seed': 90}"
0.532457453515108,"{'binarize': True, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}","{'weighting': 'lin', 'seed': 90}"
0.5495772923872128,"{'binarize': True, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}","{'weighting': 'log', 'seed': 90}"
0.4460391107460094,"{'binarize': True, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}","{'weighting': 'top', 'seed': 90}"
0.461581153633873,"{'binarize': True, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}","{'weighting': 'lin', 'seed': 90}"
0.4716443248987095,"{'binarize': True, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'rusemshift-train'}","{'weighting': 'log', 'seed': 90}"
0.5048735729091779,"{'binarize': True, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'ru-ru'}","{'weighting': 'top', 'seed': 90}"
0.49746615429737323,"{'binarize': True, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'ru-ru'}","{'weighting': 'lin', 'seed': 90}"
0.5042751808773785,"{'binarize': True, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'ru-ru'}","{'weighting': 'log', 'seed': 90}"
0.4168848892500834,"{'binarize': True, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'en-en'}","{'weighting': 'top', 'seed': 90}"
0.4845613409581766,"{'binarize': True, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'en-en'}","{'weighting': 'lin', 'seed': 90}"
0.5092447937104282,"{'binarize': True, 'percentile': 2, 'word_level_threshold': False, 'score_path': 'en-en'}","{'weighting': 'log', 'seed': 90}"
0.6792956310121999,"{'binarize': True, 'percentile': 3, 'word_level_threshold': False, 'score_path': 'rusemshift-finetune'}","{'weighting': 'top', 'seed': 90}"
