context_id	word	gold_sense_id	positions	context
1	afternoon_nn	0	27-36	One little incident in our afternoon travel I will mention, as it appeared to afford more pleasure to the rest of the passengers than it did to me.
2	afternoon_nn	0	61-70	Substituting it for the gold ring, he wore it to school that afternoon; and a little negotiation, after school was dismissed, settled the business -- the coveted dog-collar was his!
3	afternoon_nn	0	38-47	On one occasion they started on their afternoon expedition in an unusually cheerful mood.
4	afternoon_nn	0	59-68	At noon we stopped by some pools of rain-water, and in the afternoon again set forward.
5	afternoon_nn	0	57-66	I doubt the brow of our brave dame hath been cloudy this afternoon.
6	afternoon_nn	0	39-48	It is an absurd thing for a man in his afternoon, - - a man of the world, moreover, with these three white hairs in his brown mustache and that deepening track of a crow's-foot on each temple, an absurd thing ever to have happened, and quite the absurdest for an old bachelor, like me, to talk about.
7	afternoon_nn	0	187-196	Owing, it may be, to this moral estrangement, - - this chill remoteness of their position, - - there have come to us but a few vague whisperings of what passed in Miriam's interview that afternoon with the sinister personage who had dogged her footsteps ever since the visit to the catacomb.
8	afternoon_nn	0	148-157	"When I left my inn, "" said Fleetwood, "" it was with the intention of bidding you farewell, Miss Adelaide, and quitting this place for the city this afternoon. """
9	afternoon_nn	0	62-71	In the forenoon Mr. Ewing offered his resolution; and, in the afternoon
10	afternoon_nn	0	49-58	Ned and myself had put him, in the course of the afternoon, to some
11	afternoon_nn	0	15-24	o'clock in the afternoon, unless something particular was in hand.
12	afternoon_nn	0	58-67	Shortly after, an officer looked into his cell one Sunday afternoon, and found him lying on his bed, which he had unrolled contrary to orders, reading his Bible.
13	afternoon_nn	0	19-28	He had caught, one afternoon, in company with a crew of political cronies, a small car-full of striped bass and Lafayette fish, in the East river, and was declared the Hero of Kipp's Bay.
14	afternoon_nn	0	94-103	The next day I had occasion to go away at an early hour, and did not return until late in the afternoon, and on entering my little parlor, I was surprised at beholding a lady, handsomely dressed, who advanced towards me with an air of dignified politeness.
15	afternoon_nn	0	247-256	"Reports unfavorable to the reputation of Mrs. Wiswall, who has taken a house in town, and of Bertha, and also of Rose, have reached here, and we are called a harboring place of unprincipled persons, a community of -- Deacon Ramsdill was here this afternoon; he has not been deprived of his good cheer. """
16	afternoon_nn	0	86-95	"You understood the intimation in the Italian stanza I gave you from the carriage this afternoon? """
17	afternoon_nn	0	34-43	At Terni, which we reached in the afternoon, we found a guide, and made exertions to reach the celebrated cascade in the vicinity, before sunset.
18	afternoon_nn	0	24-33	"We were out walking one afternoon, and the two boys had been excursionizing to their heart's content, when Archie came up with, "" O Miss Kate!"
19	afternoon_nn	0	48-57	"I wish my brother was here to ride with me this afternoon. """
20	afternoon_nn	0	197-206	At last, toward evening, the old familiar black heads of thunderclouds rose fast above the horizon, and the same deep muttering of distant thunder that had become the ordinary accompaniment of our afternoon's journey began to roll hoarsely over the prairie.
21	afternoon_nn	0	70-79	"I wish we had a pack of cards here, "" said one of the boys, one weary afternoon. """
22	afternoon_nn	0	39-48	Accordingly, the late sunshine of that afternoon shone full on the yellow buttons of James as he proceeded to the place of conflict.
23	afternoon_nn	0	19-28	"He had caught, one afternoon, in company with a crew of political cronies, a small carful of striped-bass and Lafayette fish, in the East river, and was declared the "" Hero of Kipp's bay. """
24	afternoon_nn	0	120-129	After the meal the party dispersed -- most of them taking a siesta in order to get rid of two or three hot hours of the afternoon before they set out on their way back to Elvas.
25	afternoon_nn	0	0-9	afternoon that the Indian bought me, he started with me to his residence, which was fifty or sixty miles distant.
26	afternoon_nn	0	277-286	"He remembered her round, well-proportioned figure, the sweet smile upon her face, the pleasant sparkle in her eye, and the grateful beverage in her hand; and he so earnestly pressed his ruminations and convictions on his friend Nettles, that the latter posted off one pleasant afternoon to the "" Lodge, "" and did not return home until the next day."
27	afternoon_nn	0	48-57	Mr. James Wilkinson was with the boys the whole afternoon, as well as his father, to whose utmost endeavors he joined his own, that the day might not be wholly unprofitable.
28	afternoon_nn	0	10-19	"On a warm afternoon of spring, as the artist sat among his riotous companions with a glass of wine before him, a splendid butterfly flew in at the open window and fluttered about his head. """
29	afternoon_nn	0	44-53	Beach not to proceed up the river until the afternoon of the next day, as the sight of troops by the miners might make them hard to manage; otherwise, I assured the Major, he would have no trouble.
30	afternoon_nn	0	39-48	""" He said he calculated to plough this afternoon, "" said Mrs. Barrington, as if that held out some slight hope of Ezra's coming home before night. """
31	afternoon_nn	0	169-178	The mundane element is entirely absent; there is nothing in those silent assemblages of men and women in street clothes, packed into a dirty, stuffy theatre of a winter afternoon, to recall or replace the aspect of the auditorium of the Italiens or Grand Op * ra in former days.
32	afternoon_nn	0	7-16	"In the afternoon, as Walter was sitting in his room pondering over the events of the morning, he was startled by the abrupt entrance of Mr. Bell, who held in his hand a large envelope, bearing the broad seal of the government. """
33	afternoon_nn	0	18-27	It was a pleasant afternoon, and as we walked along on the bank of the canal what carries the water from the river to the
34	afternoon_nn	0	46-55	She remained in company with the cows all the afternoon.
35	afternoon_nn	0	17-26	About two of the afternoon they reached the river, almost exhausted.
36	afternoon_nn	0	85-94	The last part of Louis ' speech was nearly inaudible, and no more was said until the afternoon.
37	afternoon_nn	0	179-188	Now climbing up the precipitous rocks, and now cutting their way through the tangled woods, they toiled courageously forward, but did not reach the castle till two o'clock in the afternoon.
38	afternoon_nn	0	114-124	The remainder of time not necessarily thus employed, might be divided somewhat in this manner: The leisure of two afternoons and evenings, could be devoted to religious and benevolent objects, such as religious meetings, charitable associations, school visiting, and attention to the sick and poor.
39	afternoon_nn	0	279-288	There was both authority and persuasion in it, -- an influence such as only men of strong magnetic powers know how to use successfully; and, before they parted, the young man, contrary to his inclinations and his pride, had promised to meet his uncle at the Tremont House in the afternoon.
40	afternoon_nn	0	7-16	On the afternoon of the same day that Wilson commenced his journey to Quebec, Grace was seated at her father's table, busily engaged in painting glass, -- a fashionable amusement at that period.
41	afternoon_nn	0	95-104	The officer who commands the station sent a note to me by an orderly, inviting us to spend the afternoon with him.
42	afternoon_nn	0	85-94	It is only wasting time to half learn a thing, as you did your geography lesson this afternoon.
43	afternoon_nn	0	131-140	, Some of the younger men dance to the sound of the banjo or fiddle -- others sit on the gunwale, smoking and talking; Late in the afternoon, the mocking-bird, the American mimic, singing in the Great Dismal Swamp -- there are the greenish waters, the resinous odor, the plenteous moss, the cypress tree, and the juniper tree; Northward, young men of Mannahatta -- the target company from an excursion returning home at evening -- the musket-muzzles all bear bunches of flowers presented by women; Children at play -- or on his father's lap a young boy fallen asleep, (how his lips move!
44	afternoon_nn	0	118-127	"Behold -- "" said a Reverend man, one Sabbath-day, as he surveyed the thousand faces, mellowed by the mild beams of an afternoon sun -- "" Behold the sands that stretch beside the waves of the Ocean."
45	afternoon_nn	0	26-35	About four o'clock in the afternoon, while he was standing at the tavern, door a funeral procession passed by, at the foot of which, and singly, walked one of the smallest men I ever saw.
46	afternoon_nn	0	5-14	"This afternoon, sir, I took some money from Mr. Wilkins to deposit in the bank. """
47	afternoon_nn	0	231-240	If one of the neighbors came in to chat awhile in an evening, my grandfather was always sure to go through with the fatigue of Burgwine; and if a stranger was travelling through Downingville and stopt at my grandfather's in a warm afternoon to get a drink of water, it was ten chances to one if he could get away till my grandfather had been through the whole story of the fatigue of Burgwine.
48	afternoon_nn	0	51-60	""" I heard the crackling of it in their stove, this afternoon, "" said Melicent, "" and saw the joyous glow of it in the faces of the family. """
49	afternoon_nn	0	77-86	Being obliged to leave Solebury the next day, I resolved to set out the same afternoon, and stopping in Chetasco, for the night, seek his habitation at the hour when he had probably retired to it.
50	afternoon_nn	0	47-56	We reached Philadelphia at four o'clock in the afternoon.
51	afternoon_nn	0	19-29	"school here Sunday afternoons, ten children, sometimes more, from father's families "" -- "" Father's families! '"
52	afternoon_nn	0	70-79	Accordingly, Lilias and Phyllis set out with Alethea and Marianne one afternoon to Mrs. Eden's cottage, which stood at the edge of a long field at the top of the hill.
53	afternoon_nn	0	214-223	The very foremast men of the Saint Michael had already heard him say things which ought to have been reserved for the ears of his confidential advisers, 170 The voyage was safely and quietly performed; and, on the afternoon of the twelfth of March, James landed in the harbour of Kinsale.
54	afternoon_nn	0	12-21	But towards afternoon the pirate, having repaired damages, overhauled him for the eighth time, and getting within range began to open his fire.
