identifier1	identifier2	annotator	judgment	comment	lemma	round
bib13506739_18131030_144030_252_0004_alto.xml-15-16	bib11653806_18111113_145120_131_0002_alto.xml-0-57	annotator2	4.0	 	krita	3
bib15873936_18950907_147385_105_0004_alto.xml-91-14	bib19223423_18280531_145063_44_0003_alto.xml-7-10	annotator2	2.0	 	krita	3
bib19223423_18300807_145063_63_0003_alto.xml-6-7	bib19225772_18280813_148004_92_0003_alto.xml-6-3	annotator2	4.0	 	krita	3
bib15761570_18951128_146176_196_0003_alto.xml-167-29	bib15650814_18950121_146365_18_0002_alto.xml-27-13	annotator2	4.0	 	krita	3
bib15975090_18950404_148377_40_0003_alto.xml-113-8	bib11653806_18111113_145120_131_0002_alto.xml-0-57	annotator2	2.0	 	krita	3
bib11653830_18950401_146968_38_0002_alto.xml-34-30	bib11653790_18990530_145648_41_0004_alto.xml-79-37	annotator2	1.0	 	krita	3
bib19225792_17940322_147359_12_0005_alto.xml-1-29	bib15760600_18950608_146401_67_0003_alto.xml-161-33	annotator2	2.0	 	krita	3
bib19349359_18950406_148383_41_0003_alto.xml-149-8	bib15650814_18950903_146365_205_0004_alto.xml-119-16	annotator2	3.0	 	krita	3
bib11653811_19031010_145317_157_0002_alto.xml-84-0	bib15650814_18950121_146365_18_0002_alto.xml-27-13	annotator2	0.0	 	krita	3
bib11653811_19020929_145317_149_0004_alto.xml-50-15	bib11653790_18990530_145648_41_0004_alto.xml-79-37	annotator2	1.0	 	krita	3
bib15650814_18950527_146365_122_0003_alto.xml-36-13	bib15869824_18960606_145700_45_0003_alto.xml-116-45	annotator2	1.0	 	krita	3
bib15873936_18960519_147385_58_0004_alto.xml-28-29	bib11653828_18081209_144028_287_0002_alto.xml-16-12	annotator2	2.0	 	krita	3
bib15650837_18060712_146391_55_0004_alto.xml-3-36	bib13506739_18190707_144030_153_0007_alto.xml-0-2	annotator2	4.0	 	krita	3
bib11653806_18000723_145120_84_0002_alto.xml-0-9	bib15650814_18950527_146365_122_0003_alto.xml-36-13	annotator2	1.0	 	krita	3
bib13506739_18031024_144030_242_0006_alto.xml-0-2	bib13506739_18181207_144030_283_0012_alto.xml-8-7	annotator2	4.0	 	krita	3
bib11653825_18130302_145134_27_0004_alto.xml-0-3	bib11653830_18960113_146968_4_0004_alto.xml-162-8	annotator2	3.0	 	krita	3
bib11653806_18030126_145120_9_0002_alto.xml-0-38	bib15873371_18950524_145112_139_0003_alto.xml-129-31	annotator2	1.0	 	krita	3
