context_id	word	gold_sense_id	positions	context
nf_1831_764842.txt-1011-24	record_nn		117-124	Suppose all Mr. Wood's defamatory allegations to be true -- suppose him to be able to rake up against her out of the records of the Antigua police, or from the veracious testimony of his brother colonists, twenty stories as bad or worse than what he insinuates -- suppose the whole of her own statement to be false, and even the whole of her conduct since she came under our observation here to be a tissue of hypocrisy; -- suppose all this -- and leave the negro woman as black in character as in complexion, 21 -- yet it would affect not the main facts -- which are these.
fic_1835_7353.txt-1855-15	record_nn		72-79	It is historical, and the name and circumstances are to be found in the records of those times.
mag_1859_567046.txt-286-29	record_nn		154-160	The Confucian school flourished in high esteem; about a hundred years after the death of its founder it produced its next most eminent sage, Mencius, the record of whose wisdom is included in, and closes, the sacred canon.
nf_1842_747853.txt-355-15	record_nn		75-82	/z/ Hence was it a principal design of the revelation of which we have the records in the books of the Old Testament, to teach the divine unity; to instruct men in the worship of one God, the eternal, unchangeable, almighty Maker, and Sovereign of the world, the only invisible object of the homage of men; and to draw them off from the imagination, that different beings preside over different parts of nature, or that good and evil spring from different and independent sources, and that the mixture of good and evil, which is seen in the universe, is to be traced to two self-existent, independent, and opposite principles.
fic_1860_1171.txt-1939-20	record_nn		110-116	Willoughby's as the family possess and will submit for examination, carefully searched, in the hope that some record may be found in his hand-writing, sufficiently clear to establish the fact that my mother was the wife of the elder Captain Allen.
nf_1839_747920.txt-1078-6	record_nn		22-29	9, in relation to the records and copies of the records.
fic_1827_7169.txt-0-35	record_nn		209-216	@@170 THE Buccaneers; A ROMANCE OF OUR OWN COUNTRY IN ITS ANCIENT DAY; ILLUSTRATED WITH DIVERS MARVELLOUS HISTORIES, AND ANTIQUE AND FACETIOUS EPISODES; GATHERED FROM THE MOST AUTHENTIC CHRONICLES &; AFFIRMED RECORDS EXTANT FROM THE Settlement of the Nieuw Nederlandts UNTIL THE TIMES OF THE FAMOUS RICHARD KID: CAREFULLY COLLATED FROM THE LABORIOUS RESEARCHES, AND MINUTE INVESTIGATIONS, OF THAT EXCELLENT ANTIQUARY AND SUBLIME PHILOSOPHER, YCLEPT TERENTIUS PHLOGOBOMBOS.
mag_1858_556623.txt-177-11	record_nn		49-55	The book remains, as we say, the most formidable record at present extant of the selfish ambition, the culpable folly, and the at last glaring incapacity of Napoleon Bonaparte.
mag_1853_555854.txt-325-5	record_nn		22-28	Written laws are a // record of the state of parties and opinion at the time when they were made; however faithful and just, they cast no spell over the encroachments of time and the laws of political gravitation.
fic_1834_7029.txt-401-36	record_nn		180-187	I see thou art studying these evidences of years in my features as the forester examines the rings in the fallen tree to estimate its age, but these (pointing to the wrinkles) are records which years alone could not have wrought.
