context_id	word	gold_sense_id	positions	context
nf_1854_747500.txt-1393-11	include_vb	0	60-68	Among Greenough's works, interesting to individuals, may be included a marble basrelief executed for Miss Sarah Gibbs, of Newport, R. I.
mag_1846_524059.txt-169-36	include_vb	0	191-199	The next six parts refer to the six boards to which we have before referred, among which the duty of regulating the details of the government is distributed; and under the ninth division are included all those laws relating to public education, the examination of candidates for public offices, as well as those peculiar laws which concern the Tartar dependencies // and the courts which take cognizance of their affairs.
mag_1845_565438.txt-223-8	include_vb	0	41-49	besides what he truly and properly sees, includes also a series or comhination of inferences, conjectures, or conceptions, which are totally different from the visual sensations, and which really arise from them, but arise so instantaneously that the sensation and these subsequent or accompanying mental acts or states can not be distinguished from each other in their occurrence.
nf_1833_747463.txt-3333-24	include_vb	0	123-131	A pellmell of sheds thrown from her devil's bag would give an idea of that irregular Weymouth the good women in this sheds included.
mag_1828_553924.txt-257-33	include_vb	0	177-186	XVe may remark here that Mr Droz, notwithstanding his previous xvarni eulogies on the pleasures of idleness, is unable to make out a picture of a happy life for himself without including his liberal occupations; and thus renounces inadvertently his own declared doctrine, and conies back to the one recommended by the common sense of the
mag_1849_525380.txt-64-11	include_vb	0	57-65	UNDER the head of Trade, Commerce, and Transportation is included every species of exchange of products of the surpluses of industry.
mag_1836_554371.txt-76-32	include_vb	0	148-156	Mr. Coleridge said, that lie had known very few men who loved the truth for the truth's sake; if he had known Chief Justice Marshall, be would have included him in the select list.
mag_1859_556756.txt-73-19	include_vb	0	83-91	Moreover, when it happens, as happen it will, that the great body of the nation is included in the list of electors, and representation is proportioned to population, or to population and property combined, then England becomes, not in theory only, but in practice, a republic, though a republic under a monarchical form.
fic_1846_557.txt-3917-31	include_vb	0	166-173	A cause involving so large a sum of money, so fine a landed estate, honourably acquired by the late proprietor, and generously bequeathed to myself, must necessarily include many interests of a varied character.
mag_1831_563795.txt-35-1	include_vb	0	4-11	hey include every object, which can administer to his wants, or mul.. tiply the sources of his happiness.
mag_1838_554638.txt-46-61	include_vb	0	309-317	Beyond them lay the harbour in full display of its beauty and glory, its islands and ships, - the Castle, the very spot with which is associated tle most fascinating portion of the history of one of my grandfathers, the House of Industry and its companion, and near them the famous Heights of Dorchester, now included within the limits of the city
mag_1821_553357.txt-97-14	include_vb	0	77-84	After defining the northern boundary of the province, the charter goes on to include all the lands and hereditaments whatsoever, lying within the limits aforesaid, and extending as far as the outermost points or promontories of land called Cape Cod and Cape Malabar, north and south, and in latitude, breadth, and in length, and longitude, of and within all the breadth and compass aforesaid, throughout the main land there, from the said Atlantic or western sea and ocean, on the east part, towards the south sea or westward, as far as our colonies of
mag_1848_555522.txt-75-11	include_vb	0	54-63	When Boston society is spoken of, no person dreams of including in the collective idea the masters and sub-masters
nf_1843_748690.txt-2757-52	include_vb	0	235-243	"I have always arranged Judaism under two heads, "" said the old man, "" the black and the white: by the black, I mean the observance of the law of Moses in preference to the precepts of the church; then there is the white Judaism, which includes all kinds of heresy, such as Lutheranism, freemasonry, and the like. """
mag_1841_554922.txt-171-11	include_vb	0	71-79	"that the passage which describes the Western boundary of the territory included in that Grant, and which boundary was agreed at the time of the Treaty of 1783, to be the Eastern boundary of Massachusetts, in conformity with the provision contained in the Charter of Massachusetts of 1691, is susceptible of a new interpretation varying in important particulars from the received one; and we show, by a literal translation of the Latin, that the boundary was intended to run from the most western waters of the St. Croix to the sources of the Chaudi * re; a line, which it has been seen, coincides in a very striking manner with the boundary in the Sieur De Mont's Grant of 1603. """
mag_1858_566921.txt-73-22	include_vb	0	115-122	It extends south of the city forty miles, and northward among islands and mountains, about twenty-five more, if we include what is called the San Pablo Bay.
nf_1841_747861.txt-157-23	include_vb	0	97-105	"liberty, and the pursuit of happiness, "" without being aware, if the negro was a man, he must be included?"
mag_1853_566260.txt-42-1	include_vb	0	6-14	which included among its adherents a great variety of opinions as to the extent to which existing regulations, superstitious or frivolous, might be observed with a good conscience.
mag_1848_588468.txt-33-19	include_vb	0	113-120	If this fact were well established, and there was no particular reason for establishing the boundary which would include people so situated in the new state, there would be great force in this argument.
nf_1837_747786.txt-977-3	include_vb	0	14-21	This does not include the extensive tract assigned to the Indians, called the Western Territory, the region west of the Missouri and north of the Platte, and that west of the Rocky Mountains, in which there is no white population, and which; has received no political organization or official name, The States are divided for municipal purposes into small sections, styled counties, except in South Carolina, where they are called districts, and in Louisiana, where they are called parishes.
mag_1834_554251.txt-145-66	include_vb	0	342-351	Thus in our own literature, the few small, but precious gems of poetry that fell from the pens of Gray, Collins and Goldsmith, occupy a larger space in the public mind, and constitute for all practical purposes a more important part of the national literature, than the whole mass of the voluminous but unfinished works of the earlier poets, including even Dryden.
mag_1853_566284.txt-424-5	include_vb	0	23-31	No matter how many are included in this general phrase, but German and French at least are indispensable.
fic_1847_7149.txt-154-8	include_vb	0	38-47	, ordered the men of the household -- including in those days the fowler and falconer, and half a dozen grooms and many a supernumerary more, whom we in these degenerate times have long discarded as incumbrances, to have their arms in readiness -- for every manor-house then had its regular armory -- and to prepare the great bell of the Hall, to summon all the tenants on the instant in case such proceedings should be needful.
mag_1838_554651.txt-959-18	include_vb	0	73-82	The sum total of these expenses, at the close of the eight years ' war, (including, in the aggregate, nearly three thousand pounds lawful money, paid for secret service, reconnoitring, and travelling, which might well be considered public charges,) was less than fourteen thousand five hundred pounds of sterling money; - a trifle more than was lately paid to the governor-general
nf_1817_747651.txt-3584-18	include_vb	0	90-99	It gives to the latter, also, the appointment of the members of the judiciary department, including even justices of the peace and sheriffs: and the appointment of officers in the executive department, down to captains in the army and navy of the state.
fic_1846_4462.txt-4291-23	include_vb	0	117-126	Beginning from his discovery of Medon's corpse upon the Esquiline, he now narrated to her fully all that had passed, including much that in his previous tale he had omitted.
mag_1822_553394.txt-97-6	include_vb	0	30-38	If ho cultivation of these be included, as it commonly is, within // the term civilization, then the assertion of our author can not be maintained;
fic_1839_7233.txt-3817-7	include_vb	0	29-37	This of course, if accepted, included present liberty, and pardon for all past offences.
mag_1848_588468.txt-83-53	include_vb	0	290-297	It had, then, a right to fix for itself a reasonable and natural boundary, including contiguons vacant territory; and was not bound to stop short of a strip from 150 to 250 miles wide, immediately contiguous and unoccupied, because the next convenient natural and reasonable boundary would include some fe * v people who had belonged to other states or settlements in the Mexico that was, who had not united with them in their new organization of a state, especially when such a boundary was a great river, extending the whole length of the state, and was the ancient boundary of the
mag_1848_524975.txt-526-26	include_vb	0	139-147	The domestic constitution stands in no way parallel simply with the four forms of society that make up the union of humanity as a whole it includes them all rather in its single nature, in the way of beginning and germ.
mag_1827_553788.txt-21-23	include_vb	0	111-119	By a second order, papers of a similar description, from 1783, to the commencement of the new government, were included.
mag_1855_556071.txt-336-24	include_vb	0	138-146	The first variety, which admits the reality of outward and local developments of force, but denies their dependence upon material causes, includes two subordinate varieties; one monotheistic, and the other pantheistic.
