identifier1	identifier2	annotator	judgment	comment	lemma	round
bib19227462_18950215_147640_39_0003_alto.xml-270-43	bib11653811_19030909_145317_139_0001_alto.xml-125-42	annotator2	1.0	 	gloria	3
bib15761097_18950727_145020_88_0001_alto.xml-12-5	bib13506739_18030413_144030_82_0003_alto.xml-2-1	annotator2	1.0	 	gloria	3
bib11653811_18960208_145317_21_0003_alto.xml-37-33	bib11653828_18220604_144028_127_0003_alto.xml-14-19	annotator2	4.0	 	gloria	3
bib19277277_18281210_147682_289_0001_alto.xml-2-63	bib11653811_19030909_145317_139_0001_alto.xml-125-42	annotator2	1.0	 	gloria	3
bib11653811_18990429_145317_64_0003_alto.xml-118-21	bib19225758_18950301_144022_51_0005_alto.xml-59-3	annotator2	2.0	 	gloria	3
bib11653828_18261117_144028_268_0002_alto.xml-16-52	bib11653828_18240520_144028_116_0003_alto.xml-10-46	annotator2	3.0	 	gloria	3
bib15873936_18960910_147385_105_0001_alto.xml-37-4	bib11653828_18220604_144028_127_0003_alto.xml-14-19	annotator2	1.0	 	gloria	3
bib19227291_18280611_145289_24_0001_alto.xml-15-9	bib19223423_18250319_145063_22_0001_alto.xml-3-26	annotator2	1.0	 	gloria	3
bib19277277_18950329_147683_86_0006_alto.xml-83-4	bib11653811_19030909_145317_139_0001_alto.xml-125-42	annotator2	1.0	 	gloria	3
bib11653828_17991008_144028_230_0002_alto.xml-3-12	bib13506739_18030413_144030_82_0003_alto.xml-2-1	annotator2	3.0	 	gloria	3
bib15975090_18960425_148377_52_0003_alto.xml-46-30	bib11653828_18280516_144028_112_0003_alto.xml-13-32	annotator2	4.0	 	gloria	3
bib11653811_18960208_145317_21_0003_alto.xml-37-33	bib11653838_19031030_147024_44_0002_alto.xml-135-18	annotator2	3.0	 	gloria	3
bib15650835_18950618_146472_52_0003_alto.xml-208-9	bib13506739_18030413_144030_82_0003_alto.xml-2-1	annotator2	3.0	 	gloria	3
bib15873371_18951220_145112_347_0001_alto.xml-17-4	bib11653811_19030909_145317_139_0001_alto.xml-125-42	annotator2	2.0	 	gloria	3
bib11653811_19030704_145317_101_0004_alto.xml-14-1	bib11653828_18220604_144028_127_0003_alto.xml-14-19	annotator2	4.0	 	gloria	3
bib19225758_18951211_144022_289_0001_alto.xml-19-4	bib19227291_18290121_145289_4_0005_alto.xml-3-35	annotator2	1.0	 	gloria	3
bib11653806_18150117_145120_6_0002_alto.xml-2-6	bib11653828_18280516_144028_112_0003_alto.xml-13-32	annotator2	1.0	 	gloria	3
bib11653838_19020613_147024_24_0003_alto.xml-186-3	bib15975090_18951221_148377_151_0002_alto.xml-39-24	annotator2	3.0	 	gloria	3
bib11653830_18960430_146968_35_0004_alto.xml-104-62	bib19277277_18950619_147683_164_0002_alto.xml-46-15	annotator2	3.0	 	gloria	3
bib11653811_18960810_145317_121_0003_alto.xml-68-15	bib19277277_18950227_147683_57_0005_alto.xml-93-2	annotator2	1.0	 	gloria	3
bib11653830_18950306_146968_28_0003_alto.xml-90-6	bib19227291_18971007_145289_121_0003_alto.xml-18-30	annotator2	3.0	 	gloria	3
bib19225758_18951219_144022_296_0001_alto.xml-16-9	bib11653811_19030909_145317_139_0001_alto.xml-125-42	annotator2	0.0	 	gloria	3
bib11653838_19010118_147024_3_0002_alto.xml-102-8	bib11653830_18970701_146968_52_0003_alto.xml-94-16	annotator2	1.0	 	gloria	3
bib19227291_18171105_145289_45_0002_alto.xml-11-8	bib11653811_19030909_145317_139_0001_alto.xml-125-42	annotator2	4.0	 	gloria	3
bib11653811_19030918_145317_144_0001_alto.xml-77-39	bib19225772_18240113_148004_4_0002_alto.xml-2-14	annotator2	1.0	 	gloria	3
bib19277301_18950902_145146_71_0002_alto.xml-99-15	bib13506739_18300920_144030_217_0002_alto.xml-13-15	annotator2	3.0	 	gloria	3
bib11653838_19020627_147024_26_0003_alto.xml-28-24	bib13506739_18030413_144030_82_0003_alto.xml-2-1	annotator2	3.0	 	gloria	3
bib19227462_18950215_147640_39_0003_alto.xml-270-43	bib15873936_18960829_147385_100_0004_alto.xml-75-17	annotator2	2.0	 	gloria	3
bib19277301_18950819_145146_67_0002_alto.xml-86-14	bib15975090_18951221_148377_151_0002_alto.xml-39-24	annotator2	4.0	 	gloria	3
bib11653811_19030704_145317_101_0004_alto.xml-14-1	bib15975090_18951221_148377_151_0002_alto.xml-39-24	annotator2	4.0	 	gloria	3
bib19225758_18951219_144022_296_0001_alto.xml-16-9	bib11653811_18960810_145317_121_0003_alto.xml-68-15	annotator2	1.0	 	gloria	3
bib15873936_18961210_147385_144_0001_alto.xml-0-73	bib13506739_18030413_144030_82_0003_alto.xml-2-1	annotator2	2.0	 	gloria	3
bib11653828_18231107_144028_259_0002_alto.xml-2-0	bib19227291_18971007_145289_121_0003_alto.xml-18-30	annotator2	3.0	 	gloria	3
bib11653790_18990602_145648_42_0003_alto.xml-0-7	bib13506739_18030413_144030_82_0003_alto.xml-2-1	annotator2	2.0	 	gloria	3
bib19225772_18191116_148004_132_0001_alto.xml-9-10	bib11653811_19030909_145317_139_0001_alto.xml-125-42	annotator2	4.0	 	gloria	3
bib13506739_18250131_144030_24_0001_alto.xml-1-23	bib13506739_18030413_144030_82_0003_alto.xml-2-1	annotator2	1.0	 	gloria	3
bib11653830_18960430_146968_35_0004_alto.xml-104-62	bib19227291_18290121_145289_4_0005_alto.xml-3-35	annotator2	4.0	 	gloria	3
bib19225758_18950301_144022_51_0005_alto.xml-59-3	bib11653828_18220604_144028_127_0003_alto.xml-14-19	annotator2	3.0	 	gloria	3
bib19277277_18250310_147682_57_0004_alto.xml-18-4	bib11653828_18180811_144028_182_0003_alto.xml-1-33	annotator2	4.0	 	gloria	3
bib11653830_18960430_146968_35_0004_alto.xml-104-62	bib19225772_18080816_148004_91_0002_alto.xml-11-20	annotator2	4.0	 	gloria	3
bib15761097_18950727_145020_88_0001_alto.xml-12-5	bib15975090_18960411_148377_46_0003_alto.xml-73-16	annotator2	1.0	 	gloria	3
bib15650837_18950516_146391_113_0002_alto.xml-134-7	bib11653811_19030909_145317_139_0001_alto.xml-125-42	annotator2	4.0	 	gloria	3
bib19227462_18950215_147640_39_0003_alto.xml-270-43	bib13506739_18030413_144030_82_0003_alto.xml-2-1	annotator2	1.0	 	gloria	3
bib19227291_18971023_145289_128_0002_alto.xml-60-7	bib15650814_18950627_146365_147_0002_alto.xml-123-10	annotator2	4.0	 	gloria	3
bib11653828_18280130_144028_25_0002_alto.xml-6-25	bib15978012_18950611_148361_133_0003_alto.xml-0-91	annotator2	3.0	 	gloria	3
bib11653830_18950311_146968_30_0004_alto.xml-89-10	bib13506739_18281202_144030_282_0003_alto.xml-0-5	annotator2	4.0	 	gloria	3
bib11653790_18990602_145648_42_0003_alto.xml-0-7	bib15873936_18960829_147385_100_0004_alto.xml-75-17	annotator2	2.0	 	gloria	3
bib11653828_18290505_144028_102_0001_alto.xml-9-20	bib19277277_18950227_147683_57_0005_alto.xml-93-2	annotator2	1.0	 	gloria	3
bib15873371_18950111_145112_10_0003_alto.xml-62-6	bib15975090_18951221_148377_151_0002_alto.xml-39-24	annotator2	4.0	 	gloria	3
bib19225758_18951211_144022_289_0001_alto.xml-19-4	bib13506739_18030413_144030_82_0003_alto.xml-2-1	annotator2	1.0	 	gloria	3
bib11653825_18150124_145134_9_0002_alto.xml-7-4	bib11653828_18241112_144028_264_0002_alto.xml-19-41	annotator2	1.0	 	gloria	3
bib15873936_18961210_147385_144_0001_alto.xml-0-73	bib19223423_18250319_145063_22_0001_alto.xml-3-26	annotator2	1.0	 	gloria	3
bib19225772_18290213_148004_18_0002_alto.xml-1-54	bib19223423_18200212_145063_12_0005_alto.xml-16-40	annotator2	1.0	 	gloria	3
bib19277301_18950902_145146_71_0002_alto.xml-91-0	bib11653830_18970701_146968_52_0003_alto.xml-94-16	annotator2	1.0	 	gloria	3
bib11653828_18261117_144028_268_0002_alto.xml-16-52	bib15978012_18950611_148361_133_0003_alto.xml-0-91	annotator2	1.0	 	gloria	3
