identifier1	identifier2	annotator	judgment	comment	lemma	round
bib15873936_18960227_147385_24_0001_alto.xml-58-55	bib19225758_18950213_144022_37_0005_alto.xml-109-18	annotator2	2.0	 	sittning	3
bib11653828_18031121_144028_266_0003_alto.xml-11-13	bib13506739_18210312_144030_59_0014_alto.xml-12-14	annotator2	1.0	 	sittning	3
bib13506739_18091106_144030_258_0008_alto.xml-3-1	bib11653828_18100316_144028_63_0003_alto.xml-7-7	annotator2	2.0	 	sittning	3
bib19225758_18950213_144022_37_0005_alto.xml-109-18	bib13506739_18210312_144030_59_0014_alto.xml-12-14	annotator2	1.0	 	sittning	3
bib19277180_18950401_147374_27_0003_alto.xml-70-2	bib15873371_18951206_145112_333_0001_alto.xml-71-11	annotator2	2.0	 	sittning	3
bib15873371_18951114_145112_311_0002_alto.xml-144-8	bib19225758_18950213_144022_37_0005_alto.xml-109-18	annotator2	1.0	 	sittning	3
bib11653828_18030901_144028_198_0001_alto.xml-11-44	bib11653828_18050123_144028_19_0002_alto.xml-5-37	annotator2	2.0	 	sittning	3
bib11653790_18960828_145648_35_0003_alto.xml-150-18	bib15760600_18950727_146401_88_0001_alto.xml-59-11	annotator2	4.0	 	sittning	3
bib19225772_18170611_148004_64_0002_alto.xml-0-23	bib15650837_18300417_146391_31_0003_alto.xml-8-12	annotator2	1.0	 	sittning	3
bib11653828_18031121_144028_266_0003_alto.xml-11-13	bib11653828_18050123_144028_19_0002_alto.xml-5-37	annotator2	3.0	 	sittning	3
bib15650837_18300417_146391_31_0003_alto.xml-8-12	bib19277301_18951128_145146_96_0002_alto.xml-90-43	annotator2	1.0	 	sittning	3
bib15873936_18960227_147385_24_0001_alto.xml-58-55	bib15760690_18950121_145050_12_0002_alto.xml-25-22	annotator2	2.0	 	sittning	3
bib19277277_18280215_147682_39_0004_alto.xml-19-12	bib11653838_19030612_147024_24_0004_alto.xml-24-11	annotator2	1.0	 	sittning	3
bib19225758_18950213_144022_37_0005_alto.xml-103-17	bib15650837_18300417_146391_31_0003_alto.xml-8-12	annotator2	1.0	 	sittning	3
bib15873371_18951114_145112_311_0002_alto.xml-144-8	bib11653811_19030328_145317_49_0002_alto.xml-147-26	annotator2	4.0	 	sittning	3
bib13506739_18140302_144030_50_0009_alto.xml-1-8	bib11653825_18091205_145134_142_0002_alto.xml-13-0	annotator2	0.0	 	sittning	3
bib19225772_18170611_148004_64_0002_alto.xml-0-23	bib13506739_18140302_144030_50_0009_alto.xml-1-8	annotator2	0.0	 	sittning	3
bib11653830_18960601_146968_44_0003_alto.xml-47-3	bib15975090_18950817_148377_97_0003_alto.xml-70-17	annotator2	2.0	 	sittning	3
